Ticker,Market Cap
A,40858206208
AA,8297880576
AACT,672500032
AAN,317716544
AAP,3707910656
AAT,1956369152
AB,3984156160
ABBV,342493298688
ABCB,4016936704
ABEV,37585620992
ABG,4602615808
ABM,3396138496
ABR,2522785536
ABT,193128906752
AC,689592832
ACA,4081269504
ACCO,488568768
ACEL,918072576
ACHR,1365342720
ACI,12080736256
ACM,12932103168
ACN,204777472000
ACP,333504000
ACR,120696616
ACRE,372907904
ACV,217367760
ADC,7207380992
ADCT,269646240
ADM,28253411328
ADNT,1938231552
ADT,6820473344
ADX,2346820096
AEE,21905674240
AEFC,N/A
AEG,10879756288
AEM,39990882304
AEO,4246816768
AER,18233706496
AES,12270548992
AESI,3063857920
AEVA,148606064
AFB,330566336
AFG,10833657856
AFGB,N/A
AFGC,21588036
AFGD,N/A
AFGE,N/A
AFL,58668322816
AG,1673918976
AGCO,6597633024
AGD,255613216
AGI,8050191872
AGL,1995692544
AGM,1931822080
AGO,4040308736
AGR,13870758912
AGRO,1168055424
AGS,454690528
AGX,974863872
AHH,1033261568
AHL,N/A
AHR,1242725504
AHT,49479976
AI,3181610752
AIG,47369031680
AIN,2778438656
AIO,736614464
AIR,2263210496
AIT,7780740096
AIV,1231998208
AIZ,9699331072
AIZN,N/A
AJG,62461026304
AJX,160994480
AKA,251071680
AKO,N/A
AKR,2396441344
AL,4981893120
ALB,9328594944
ALC,46680612864
ALE,3666242816
ALEX,1366742272
ALG,2142700160
ALIT,3860467200
ALK,4387809792
ALL,47432323072
ALLE,11437305856
ALLG,259461360
ALLY,12805363712
ALSN,7487759872
ALTG,199216848
ALTM,2882071808
ALUR,42439124
ALV,8003175424
ALX,1133307648
AM,7007160320
AMBC,536083296
AMBP,2020124672
AMC,1803161344
AMCR,15103803392
AME,37668593664
AMG,5135461376
AMH,15987935232
AMK,2614629888
AMN,1977238784
AMP,42357624832
AMPS,476770208
AMPX,125487632
AMPY,286941568
AMR,3131128832
AMRC,1459409664
AMT,102687973376
AMTB,697242752
AMTD,1078928640
AMWL,129822056
AMX,52975869952
AN,6947430912
ANET,111175606272
ANF,8436463104
ANG,N/A
ANRO,252336224
ANVS,111350616
AOD,930955712
AOMN,N/A
AOMR,275209056
AON,72135204864
AORT,1049013248
AOS,11616553984
AP,36169740
APAM,2828299520
APD,61367558144
APG,9397350400
APH,79242289152
APLE,3432995328
APO,63218274304
APOS,N/A
APTV,16195792896
AQN,4103396608
AQNB,N/A
AR,8673985536
ARC,128019112
ARCH,2285906176
ARCO,1952846208
ARDC,350597984
ARDT,2418405376
ARE,20062263296
ARES,45383983104
ARGD,N/A
ARGO,N/A
ARI,1411139456
ARIS,943138240
ARL,277652896
ARLO,1209230464
ARMK,9439377408
AROC,3312893952
ARR,978725568
ARW,6844625920
AS,5790164992
ASA,368822912
ASAI,2569808896
ASAN,3022377984
ASB,3235317248
ASBA,N/A
ASC,826373568
ASG,322434016
ASGI,472623744
ASGN,4067840256
ASH,4149246720
ASIX,791236096
ASPN,2306296320
ASR,8346212352
ASX,21502945280
ATCO,N/A
ATEN,971339136
ATGE,2748717056
ATH,N/A
ATHM,2827941888
ATHS,N/A
ATI,7969430016
ATIP,25525916
ATKR,3428306432
ATMU,2819214848
ATO,20057655296
ATR,9740506112
ATS,2594291968
ATUS,723115328
AU,13220231168
AUB,3364161536
AUNA,576557312
AVA,3008846336
AVAL,2414397696
AVB,30606520320
AVD,164364624
AVK,434498144
AVNS,1071990144
AVNT,4232343808
AVTR,17193154560
AVY,17148153856
AWF,946802048
AWI,5349329408
AWK,27471785984
AWP,356151360
AWR,3083476736
AX,3653771264
AXL,746639360
AXP,178943672320
AXR,120236608
AXS,6314417152
AXTA,7572601344
AYI,7288630784
AZEK,5925929984
AZO,54884818944
AZUL,491949056
AZZ,2355487744
B,1934699904
BA,110913978368
BABA,197636505600
BAC,305261871104
BAH,19077634048
BAK,2476548864
BALL,19252090880
BALY,694400896
BAM,17131087872
BANC,2349760512
BAP,13243309056
BARK,289826816
BAX,18427627520
BB,1386906496
BBAI,315091968
BBAR,2873828352
BBD,27836600320
BBDC,1054407296
BBDO,27836497920
BBN,1079514880
BBU,1460380160
BBUC,1510156160
BBVA,58843193344
BBW,383643744
BBWI,7525116928
BBY,18387460096
BC,5092571648
BCAT,1709720448
BCC,4931295744
BCE,31300431872
BCH,12505904128
BCO,4473847808
BCS,43587350528
BCSF,1059467328
BCX,760956992
BDC,4143798528
BDJ,1546781952
BDN,872877568
BDX,68309291008
BE,2642935296
BEDU,52487552
BEKE,18493460480
BEN,11903434752
BEP,16039322624
BEPC,5065875968
BEPH,N/A
BEPI,N/A
BEPJ,N/A
BERY,7435247616
BEST,54877904
BF,N/A
BFAC,152993200
BFAM,7882266624
BFH,2695981568
BFK,460036832
BFLY,203008160
BFS,1342969600
BFZ,357456224
BG,13670738944
BGB,544012416
BGH,305980576
BGR,357868928
BGS,657060416
BGSF,90387824
BGT,288397440
BGX,166097472
BGY,566536832
BH,556420160
BHC,2103500288
BHE,1529080576
BHIL,38431028
BHK,612795456
BHLB,1141233152
BHP,135895105536
BHR,225282432
BHV,17916700
BHVN,3647442176
BIG,32650200
BIGZ,1571041408
BILL,5213449216
BIO,9080230912
BIP,14500709376
BIPC,5081653248
BIPH,N/A
BIPI,N/A
BIPJ,N/A
BIRK,11812564992
BIT,558986624
BJ,11499235328
BK,48417427456
BKD,1366602880
BKDT,N/A
BKE,2178905344
BKH,4031462912
BKKT,87174728
BKN,213351920
BKSY,162311904
BKT,262510864
BKU,2740478208
BLCO,5630320128
BLD,11225446400
BLDR,18764232704
BLE,530248064
BLK,129240195072
BLND,1004263808
BLW,505120416
BLX,1097293184
BMA,4877215232
BME,577002752
BMEZ,1657357824
BMI,5881751552
BML,N/A
BMN,152831200
BMO,62358425600
BMY,100072464384
BN,70214049792
BNED,291695040
BNH,N/A
BNJ,N/A
BNL,3462930688
BNRE,7969022976
BNS,57925046272
BNY,260705856
BOC,425956224
BODI,47721572
BOE,663863360
BOH,2595196160
BOOT,4193648640
BORR,1571500032
BOW,880154688
BOWL,1631735680
BOX,4076753152
BP,93471973376
BPT,36594000
BR,24358336512
BRBR,7096678400
BRC,3441372416
BRCC,906471040
BRDG,941040256
BRFS,7414803456
BRK,N/A
BRO,29059538944
BROS,5032696320
BRSP,741972672
BRT,334619168
BRW,310040064
BRX,7810862080
BSAC,9502389248
BSBR,20881166336
BSIG,877748928
BSL,185241040
BSM,3116090112
BST,1204089600
BSTZ,1446864768
BSX,115233300480
BTA,141790944
BTCM,24669306
BTE,2889867520
BTI,79724339200
BTO,627770176
BTT,1398191744
BTU,2825196032
BTZ,1023769728
BUD,119866843136
BUI,511315360
BUR,2905027840
BURL,16867296256
BV,1394403968
BVN,3887348224
BW,94039824
BWA,7434379776
BWG,145914032
BWLP,2104095488
BWMX,547806208
BWNB,N/A
BWSN,N/A
BWXT,8979272704
BX,164009607168
BXC,809930112
BXMT,3057465856
BXMX,1386436224
BXP,12393128960
BXSL,6043047424
BY,1170791168
BYD,5335995392
BYM,312652832
BYON,481297376
BZH,893293824
C,117138923520
CAAP,2590039552
CABO,2051919488
CACI,10377409536
CADE,5599650304
CAE,5548862976
CAF,200608496
CAG,14572700672
CAH,26786371584
CAL,1470177920
CALX,2463570688
CANG,193075248
CAPL,748759040
CARR,60827426816
CARS,1159312896
CAT,166552764416
CATO,100310352
CAVA,11284210688
CB,110439604224
CBH,167477216
CBL,813416768
CBRE,34237538304
CBT,5441810432
CBU,3111638016
CBZ,3468173056
CC,2783885568
CCI,47732838400
CCIA,N/A
CCIF,115205440
CCJ,17520386048
CCK,10612789248
CCL,20254611456
CCM,32085310
CCO,704083712
CCRD,101750920
CCS,2892340480
CCU,2126686336
CCZ,52874600448
CDE,2427421696
CDLR,2292800512
CDP,3283594752
CDR,N/A
CDRE,1409503616
CE,14101611520
CEE,66450392
CEIX,2816162304
CEM,590528320
CEPU,1941902336
CF,14607960064
CFG,18483408896
CFR,6994641920
CGA,26924170
CGAU,1529485568
CHCT,525230752
CHD,24483948544
CHE,8641434624
CHGG,212523488
CHH,5840408576
CHMI,107356200
CHN,98852800
CHPT,761294144
CHT,29622708224
CHWY,11813161984
CI,95695216640
CIA,145117632
CIB,8375910400
CIEN,7731328512
CIF,31640700
CIG,6412119552
CII,839674048
CIM,1205544704
CIMN,N/A
CINT,971436544
CIO,219241392
CION,654280640
CIVI,6197008384
CL,83334701056
CLB,914334336
CLBR,217175008
CLCO,625637568
CLDT,409028160
CLF,5887943168
CLH,12772615168
CLPR,189504304
CLS,6496962560
CLVT,4598295040
CLW,548523328
CLX,18009534464
CM,49583046656
CMA,7458707456
CMBT,3299969536
CMC,6253264896
CMCM,106982568
CMG,71856611328
CMI,41340526592
CMP,402591200
CMRE,1654562560
CMS,19850541056
CMSA,6904832000
CMSC,N/A
CMSD,N/A
CMTG,1107463296
CMU,90244512
CNA,13384714240
CNC,41088204800
CNF,66524736
CNH,12337195008
CNI,71083139072
CNK,3245623808
CNM,10280453120
CNMD,2076661632
CNNE,1199485568
CNO,3503994624
CNP,16807885824
CNQ,77701414912
CNS,4280675584
CNX,4045322496
CODI,1601559296
COF,53291823104
COHR,11747378176
COLD,8089933312
COMP,2355508224
CON,2963565568
COOK,394871296
COP,129107779584
COR,46671466496
COTY,8357289472
COUR,1294557056
CP,73754198016
CPA,3738767872
CPAC,482361792
CPAY,20350117888
CPB,14659000320
CPF,706630592
CPK,2572084992
CPNG,40268566528
CPRI,3824609024
CPS,250604480
CPT,12757811200
CQP,24516829184
CR,8543756288
CRBG,16753995776
CRC,4485495808
CRD,N/A
CRGY,2599838464
CRH,57410338816
CRI,2305278976
CRK,3112579328
CRL,10422688768
CRM,254759796736
CRS,7294332416
CRT,62700000
CSAN,4654893568
CSL,18657622016
CSR,1202833664
CSTM,2346106880
CSV,478006304
CTA,N/A
CTBB,N/A
CTDD,N/A
CTLT,10777359360
CTO,445526272
CTOS,1046414720
CTR,276093024
CTRA,17764753408
CTRE,4291636224
CTRI,1430442880
CTS,1442949504
CTV,264996672
CTVA,37242888192
CUBB,N/A
CUBE,11009366016
CUBI,1516413184
CUK,17664632832
CULP,59232024
CURV,784712000
CUZ,4144974336
CVE,36398120960
CVEO,393046848
CVI,2596715776
CVLG,694896640
CVNA,18235545600
CVS,73403129856
CVX,267258232832
CW,11536515072
CWAN,5810783232
CWEN,5690737152
CWH,930562048
CWK,2932107520
CWT,3194202880
CX,9756072960
CXE,121374328
CXH,66249696
CXM,2373781760
CXT,3303090176
CXW,1402647168
CYD,456795808
CYH,696109440
D,46988914688
DAC,1597559680
DAL,25913573376
DAN,1573000448
DAO,407559808
DAR,6348237824
DAVA,1716359680
DAY,8758739968
DB,30189348864
DBD,1456085248
DBI,442193728
DBL,270406240
DBRG,2245041408
DCF,134856288
DCI,8742606848
DCO,947424320
DD,33474750464
DDD,325923008
DDL,434406016
DDS,5734391808
DDT,N/A
DE,104143413248
DEA,1393795200
DEC,626177280
DECK,24153538560
DEI,2974394880
DELL,78723489792
DEO,71767515136
DESP,741437696
DFH,2697494784
DFIN,1894726272
DFP,407270528
DFS,33593434112
DG,27106457600
DGX,16851168256
DHF,182568608
DHI,58005860352
DHR,194506407936
DHT,1832616448
DHX,85190864
DIAX,519683008
DIN,495228608
DINO,9308052480
DIS,161953595392
DK,1403714560
DKL,1835110656
DKS,18305957888
DLB,6845004288
